"編號","大類","部位","名稱","五行","取得管道","裝備等級","四維模板","主屬性","特效","特效效果（紫色；橙×1.5、白金×2）","套裝"
"笛-04","武器","笛","火紋笛","火","可製作・凡俗宗門","Lv10～100","均衡","火傷","焚燼","燒傷傷害 +20%",""
"笛-05","武器","笛","岩骨笛","土","可製作・凡俗宗門","Lv10～100","玄妙","雷傷","聚靈","技能耗魔 -8%",""
"笛-06","武器","笛","金蟬笛","金","可製作・修真宗門","Lv200～500","靈動","金傷","追擊","8% 機率追加一次攻擊 ×0.6",""
"笛-07","武器","笛","翠微笛","木","可製作・修真宗門","Lv200～500","雅致","毒傷","蝕骨","中毒傷害 +20%",""
"笛-08","武器","笛","玄冰笛","水","可製作・修真宗門","Lv200～500","均衡","冰傷","吸血","傷害的 3% 轉為氣血",""
"笛-09","武器","笛","火鳳笛","火","可製作・修真宗門","Lv200～500","玄妙","火傷","噬魂","擊殺時回復 3% 氣血",""
"笛-10","武器","笛","坤元笛","土","可製作・修真宗門","Lv200～500","靈動","雷傷","連雷","雷擊時再劈另一名敵人 ×0.5",""
"笛-11","武器","笛","斬仙笛","金","可製作・至高宗門","Lv700～1000","雅致","金傷","首擊","每波第一擊傷害 +25%",""
"笛-12","武器","笛","乙木笛","木","可製作・至高宗門","Lv700～1000","均衡","毒傷","法爆","技能傷害 +5%",""
"笛-13","武器","笛","滄溟笛","水","可製作・至高宗門","Lv700～1000","玄妙","冰傷","寒徹","對凍結中的敵人傷害 +10%",""
"笛-14","武器","笛","太陽笛","火","可製作・至高宗門","Lv700～1000","靈動","火傷","斬殺","對氣血低於 20% 的敵人傷害 +20%",""
"笛-15","武器","笛","息壤笛","土","可製作・至高宗門","Lv700～1000","雅致","雷傷","疾風","5% 機率本回合再出手一次",""
"笛-16","武器","笛","追魂笛","金","外界・奪寶","依人物等級","均衡","金傷","燃魂","氣血高於 80% 時傷害 +8%",""
"笛-17","武器","笛","腐骨笛","木","外界・奪寶","依人物等級","玄妙","毒傷","洞察","無視敵人 5% 閃避",""
"笛-18","武器","笛","寒屍笛","水","外界・奪寶","依人物等級","靈動","冰傷","聚靈","技能耗魔 -8%",""
"笛-19","武器","笛","赤魔笛","火","外界・奪寶","依人物等級","雅致","火傷","焚燼","燒傷傷害 +20%",""
"笛-20","武器","笛","魔岩笛","土","外界・奪寶","依人物等級","均衡","雷傷","破甲","攻擊無視目標 10% 減傷",""
"笛-21","武器","笛","金縷笛","金","外界・拍賣","依人物等級","玄妙","金傷","吸血","傷害的 3% 轉為氣血",""
"笛-22","武器","笛","碧玉笛","木","外界・拍賣","依人物等級","靈動","毒傷","毒爆","中毒滿層時引爆，造成攻擊力 ×1.0",""
"笛-23","武器","笛","鮫綃笛","水","外界・拍賣","依人物等級","雅致","冰傷","橫掃","普攻 10% 機率波及全體 ×0.4",""
"笛-24","武器","笛","琥珀笛","火","外界・拍賣","依人物等級","均衡","火傷","首擊","每波第一擊傷害 +25%",""
"笛-25","武器","笛","田黃笛","土","外界・拍賣","依人物等級","玄妙","雷傷","連雷","雷擊時再劈另一名敵人 ×0.5",""
"笛-26","武器","笛","天樞笛","金","外界・秘境","依秘境層級","靈動","金傷","剋敵","五行剋制時傷害再 +8%","天樞（閃避）"
"笛-27","武器","笛","瑤光笛","木","外界・秘境","依秘境層級","雅致","毒傷","斬殺","對氣血低於 20% 的敵人傷害 +20%","瑤光（閃避）"
"笛-28","武器","笛","洛神笛","水","外界・秘境","依秘境層級","均衡","冰傷","冰封","凍結時 30% 機率擴散到另一名敵人","洛神（閃避）"
"笛-29","武器","笛","畢方笛","火","外界・秘境","依秘境層級","玄妙","火傷","燃魂","氣血高於 80% 時傷害 +8%","畢方（閃避）"
"笛-30","武器","笛","須彌笛","土","外界・秘境","依秘境層級","靈動","雷傷","洞察","無視敵人 5% 閃避","須彌（閃避）"
"笛-31","武器","笛","戮仙笛","金","外界・秘境","依秘境層級","雅致","金傷","聚靈","技能耗魔 -8%","戮仙（屬性）"
"笛-32","武器","笛","神農笛","木","外界・秘境","依秘境層級","均衡","毒傷","追擊","8% 機率追加一次攻擊 ×0.6","神農（屬性）"
"笛-33","武器","笛","太陰笛","水","外界・秘境","依秘境層級","玄妙","冰傷","破甲","攻擊無視目標 10% 減傷","太陰（屬性）"
"笛-34","武器","笛","三昧笛","火","外界・秘境","依秘境層級","靈動","火傷","焚燼","燒傷傷害 +20%","三昧（屬性）"
"笛-35","武器","笛","九州笛","土","外界・秘境","依秘境層級","雅致","雷傷","噬魂","擊殺時回復 3% 氣血","九州（屬性）"
"笛-36","武器","笛","無量笛","金","外界・秘境","依秘境層級","均衡","金傷","橫掃","普攻 10% 機率波及全體 ×0.4",""
"笛-37","武器","笛","九霄笛","金","外界・秘境","依秘境層級","玄妙","金傷","首擊","每波第一擊傷害 +25%",""
"笛-38","武器","笛","太初笛","金","外界・秘境","依秘境層級","靈動","金傷","法爆","技能傷害 +5%",""
"笛-39","武器","笛","方丈笛","木","外界・秘境","依秘境層級","雅致","毒傷","剋敵","五行剋制時傷害再 +8%",""
"笛-40","武器","笛","花神笛","木","外界・秘境","依秘境層級","均衡","毒傷","毒爆","中毒滿層時引爆，造成攻擊力 ×1.0",""
"笛-41","武器","笛","鴻蒙笛","木","外界・秘境","依秘境層級","玄妙","毒傷","疾風","5% 機率本回合再出手一次",""
"笛-42","武器","笛","靈霄笛","水","外界・秘境","依秘境層級","靈動","冰傷","燃魂","氣血高於 80% 時傷害 +8%",""
"笛-43","武器","笛","碧海笛","水","外界・秘境","依秘境層級","雅致","冰傷","寒徹","對凍結中的敵人傷害 +10%",""
"笛-44","武器","笛","北斗笛","水","外界・秘境","依秘境層級","均衡","冰傷","聚靈","技能耗魔 -8%",""
"笛-45","武器","笛","離明笛","火","外界・秘境","依秘境層級","玄妙","火傷","追擊","8% 機率追加一次攻擊 ×0.6",""
"笛-46","武器","笛","熒惑笛","火","外界・秘境","依秘境層級","靈動","火傷","焚燼","燒傷傷害 +20%",""
"笛-47","武器","笛","燭龍笛","火","外界・秘境","依秘境層級","雅致","火傷","吸血","傷害的 3% 轉為氣血",""
"笛-48","武器","笛","大荒笛","土","外界・秘境","依秘境層級","均衡","雷傷","噬魂","擊殺時回復 3% 氣血",""
"笛-49","武器","笛","崆峒笛","土","外界・秘境","依秘境層級","玄妙","雷傷","連雷","雷擊時再劈另一名敵人 ×0.5",""
"笛-50","武器","笛","坤輿笛","土","外界・秘境","依秘境層級","靈動","雷傷","首擊","每波第一擊傷害 +25%",""
"筆-01","武器","筆","鎏銀筆","金","可製作・凡俗宗門","Lv10～100","玄妙","金傷","燃魂","氣血高於 80% 時傷害 +8%",""
"筆-02","武器","筆","棗木筆","木","可製作・凡俗宗門","Lv10～100","雅致","毒傷","洞察","無視敵人 5% 閃避",""
"筆-03","武器","筆","淡月筆","水","可製作・凡俗宗門","Lv10～100","法體","冰傷","聚靈","技能耗魔 -8%",""
"筆-04","武器","筆","朱漆筆","火","可製作・凡俗宗門","Lv10～100","靈動","火傷","焚燼","燒傷傷害 +20%",""
"筆-05","武器","筆","黃沙筆","土","可製作・凡俗宗門","Lv10～100","玄妙","雷傷","破甲","攻擊無視目標 10% 減傷",""
"筆-06","武器","筆","白虹筆","金","可製作・修真宗門","Lv200～500","雅致","金傷","吸血","傷害的 3% 轉為氣血",""
"筆-07","武器","筆","靈藤筆","木","可製作・修真宗門","Lv200～500","法體","毒傷","蝕骨","中毒傷害 +20%",""
"筆-08","武器","筆","凌波筆","水","可製作・修真宗門","Lv200～500","靈動","冰傷","橫掃","普攻 10% 機率波及全體 ×0.4",""
"筆-09","武器","筆","紫焰筆","火","可製作・修真宗門","Lv200～500","玄妙","火傷","首擊","每波第一擊傷害 +25%",""
"筆-10","武器","筆","岳峙筆","土","可製作・修真宗門","Lv200～500","雅致","雷傷","連雷","雷擊時再劈另一名敵人 ×0.5",""
"筆-11","武器","筆","裂空筆","金","可製作・至高宗門","Lv700～1000","法體","金傷","剋敵","五行剋制時傷害再 +8%",""
"筆-12","武器","筆","長生筆","木","可製作・至高宗門","Lv700～1000","靈動","毒傷","斬殺","對氣血低於 20% 的敵人傷害 +20%",""
"筆-13","武器","筆","癸水筆","水","可製作・至高宗門","Lv700～1000","玄妙","冰傷","寒徹","對凍結中的敵人傷害 +10%",""
"筆-14","武器","筆","丙火筆","火","可製作・至高宗門","Lv700～1000","雅致","火傷","燃魂","氣血高於 80% 時傷害 +8%",""
"筆-15","武器","筆","玄武筆","土","可製作・至高宗門","Lv700～1000","法體","雷傷","洞察","無視敵人 5% 閃避",""
"筆-16","武器","筆","殺生筆","金","外界・奪寶","依人物等級","靈動","金傷","聚靈","技能耗魔 -8%",""
"筆-17","武器","筆","屍木筆","木","外界・奪寶","依人物等級","玄妙","毒傷","追擊","8% 機率追加一次攻擊 ×0.6",""
"筆-18","武器","筆","鬼霧筆","水","外界・奪寶","依人物等級","雅致","冰傷","破甲","攻擊無視目標 10% 減傷",""
"筆-19","武器","筆","業火筆","火","外界・奪寶","依人物等級","法體","火傷","焚燼","燒傷傷害 +20%",""
"筆-20","武器","筆","黑沙筆","土","外界・奪寶","依人物等級","靈動","雷傷","噬魂","擊殺時回復 3% 氣血",""
"筆-21","武器","筆","玲瓏筆","金","外界・拍賣","依人物等級","玄妙","金傷","橫掃","普攻 10% 機率波及全體 ×0.4",""
"筆-22","武器","筆","蘭亭筆","木","外界・拍賣","依人物等級","雅致","毒傷","毒爆","中毒滿層時引爆，造成攻擊力 ×1.0",""
"筆-23","武器","筆","明珠筆","水","外界・拍賣","依人物等級","法體","冰傷","法爆","技能傷害 +5%",""
"筆-24","武器","筆","丹鳳筆","火","外界・拍賣","依人物等級","靈動","火傷","剋敵","五行剋制時傷害再 +8%",""
"筆-25","武器","筆","雲錦筆","土","外界・拍賣","依人物等級","玄妙","雷傷","連雷","雷擊時再劈另一名敵人 ×0.5",""
"筆-26","武器","筆","神霄筆","金","外界・秘境","依秘境層級","雅致","金傷","疾風","5% 機率本回合再出手一次","神霄（法攻）"
"筆-27","武器","筆","太昊筆","木","外界・秘境","依秘境層級","法體","毒傷","燃魂","氣血高於 80% 時傷害 +8%","太昊（法攻）"
"筆-28","武器","筆","玄女筆","水","外界・秘境","依秘境層級","靈動","冰傷","冰封","凍結時 30% 機率擴散到另一名敵人","玄女（法攻）"
"筆-29","武器","筆","羲和筆","火","外界・秘境","依秘境層級","玄妙","火傷","聚靈","技能耗魔 -8%","羲和（法攻）"
"筆-30","武器","筆","黃庭筆","土","外界・秘境","依秘境層級","雅致","雷傷","追擊","8% 機率追加一次攻擊 ×0.6","黃庭（法攻）"
"筆-31","武器","筆","戮仙筆","金","外界・秘境","依秘境層級","法體","金傷","破甲","攻擊無視目標 10% 減傷","戮仙（屬性）"
"筆-32","武器","筆","神農筆","木","外界・秘境","依秘境層級","靈動","毒傷","吸血","傷害的 3% 轉為氣血","神農（屬性）"
"筆-33","武器","筆","太陰筆","水","外界・秘境","依秘境層級","玄妙","冰傷","噬魂","擊殺時回復 3% 氣血","太陰（屬性）"
"筆-34","武器","筆","三昧筆","火","外界・秘境","依秘境層級","雅致","火傷","焚燼","燒傷傷害 +20%","三昧（屬性）"
"筆-35","武器","筆","九州筆","土","外界・秘境","依秘境層級","法體","雷傷","首擊","每波第一擊傷害 +25%","九州（屬性）"
"筆-36","武器","筆","大衍筆","金","外界・秘境","依秘境層級","靈動","金傷","法爆","技能傷害 +5%","大衍（收益）"
"筆-37","武器","筆","蓬萊筆","木","外界・秘境","依秘境層級","玄妙","毒傷","蝕骨","中毒傷害 +20%","蓬萊（收益）"
"筆-38","武器","筆","歸墟筆","水","外界・秘境","依秘境層級","雅致","冰傷","斬殺","對氣血低於 20% 的敵人傷害 +20%","歸墟（收益）"
"筆-39","武器","筆","丹霄筆","火","外界・秘境","依秘境層級","法體","火傷","疾風","5% 機率本回合再出手一次","丹霄（收益）"
"筆-40","武器","筆","萬壽筆","土","外界・秘境","依秘境層級","靈動","雷傷","連雷","雷擊時再劈另一名敵人 ×0.5","萬壽（收益）"
"筆-41","武器","筆","開天筆","金","外界・秘境","依秘境層級","玄妙","金傷","洞察","無視敵人 5% 閃避",""
"筆-42","武器","筆","陷仙筆","金","外界・秘境","依秘境層級","雅致","金傷","聚靈","技能耗魔 -8%",""
"筆-43","武器","筆","青冥筆","木","外界・秘境","依秘境層級","法體","毒傷","蝕骨","中毒傷害 +20%",""
"筆-44","武器","筆","東皇筆","木","外界・秘境","依秘境層級","靈動","毒傷","破甲","攻擊無視目標 10% 減傷",""
"筆-45","武器","筆","寒淵筆","水","外界・秘境","依秘境層級","玄妙","冰傷","吸血","傷害的 3% 轉為氣血",""
"筆-46","武器","筆","共工筆","水","外界・秘境","依秘境層級","雅致","冰傷","冰封","凍結時 30% 機率擴散到另一名敵人",""
"筆-47","武器","筆","赤帝筆","火","外界・秘境","依秘境層級","法體","火傷","橫掃","普攻 10% 機率波及全體 ×0.4",""
"筆-48","武器","筆","九鳳筆","火","外界・秘境","依秘境層級","靈動","火傷","首擊","每波第一擊傷害 +25%",""
"筆-49","武器","筆","泰山筆","土","外界・秘境","依秘境層級","玄妙","雷傷","連雷","雷擊時再劈另一名敵人 ×0.5",""
"筆-50","武器","筆","地藏筆","土","外界・秘境","依秘境層級","雅致","雷傷","剋敵","五行剋制時傷害再 +8%",""
"頭-01","防具","頭","精鋼冠","金","可製作・凡俗宗門","Lv10～100","厚重","減傷","護體","氣血低於 30% 時減傷 +8%",""
"頭-02","防具","頭","松紋盔","木","可製作・凡俗宗門","Lv10～100","靈動","減傷","先手盾","每波戰鬥前 2 回合減傷 +10%",""
"頭-03","防具","頭","寒鐵巾","水","可製作・凡俗宗門","Lv10～100","法體","減傷","回春","每回合回復 1% 氣血",""
"頭-04","防具","頭","赤銅冠","火","可製作・凡俗宗門","Lv10～100","均衡","減傷","回靈","每回合回復 1.5% 靈力",""
"頭-05","防具","頭","黃楊盔","土","可製作・凡俗宗門","Lv10～100","厚重","減傷","定神","被凍結機率 -15%",""
"頭-06","防具","頭","庚金巾","金","可製作・修真宗門","Lv200～500","靈動","減傷","閃擊","閃避後反擊一次 ×0.8",""
"頭-07","防具","頭","青元冠","木","可製作・修真宗門","Lv200～500","法體","減傷","金身","受到物理傷害 -6%",""
"頭-08","防具","頭","寒魄盔","水","可製作・修真宗門","Lv200～500","均衡","減傷","化勁","受到術法傷害 -6%",""
"頭-09","防具","頭","赤霄巾","火","可製作・修真宗門","Lv200～500","厚重","減傷","延壽","戰死折壽 -10%",""
"頭-10","防具","頭","鎮岳冠","土","可製作・修真宗門","Lv200～500","靈動","減傷","丹心","丹藥回復量 +15%",""
"頭-11","防具","頭","太白盔","金","可製作・至高宗門","Lv700～1000","法體","減傷","反震","受擊反彈 8% 傷害",""
"頭-12","防具","頭","建木巾","木","可製作・至高宗門","Lv700～1000","均衡","減傷","護體","氣血低於 30% 時減傷 +8%",""
"頭-13","防具","頭","玄冥冠","水","可製作・至高宗門","Lv700～1000","厚重","減傷","先手盾","每波戰鬥前 2 回合減傷 +10%",""
"頭-14","防具","頭","南明盔","火","可製作・至高宗門","Lv700～1000","靈動","減傷","回春","每回合回復 1% 氣血",""
"頭-15","防具","頭","后土巾","土","可製作・至高宗門","Lv700～1000","法體","減傷","回靈","每回合回復 1.5% 靈力",""
"頭-16","防具","頭","血刃冠","金","外界・奪寶","依人物等級","均衡","減傷","定神","被凍結機率 -15%",""
"頭-17","防具","頭","蠱毒盔","木","外界・奪寶","依人物等級","厚重","減傷","閃擊","閃避後反擊一次 ×0.8",""
"頭-18","防具","頭","幽冥巾","水","外界・奪寶","依人物等級","靈動","減傷","金身","受到物理傷害 -6%",""
"頭-19","防具","頭","血焰冠","火","外界・奪寶","依人物等級","法體","減傷","化勁","受到術法傷害 -6%",""
"頭-20","防具","頭","屍山盔","土","外界・奪寶","依人物等級","均衡","減傷","延壽","戰死折壽 -10%",""
"頭-21","防具","頭","鎏金巾","金","外界・拍賣","依人物等級","厚重","減傷","丹心","丹藥回復量 +15%",""
"頭-22","防具","頭","翡翠冠","木","外界・拍賣","依人物等級","靈動","減傷","反震","受擊反彈 8% 傷害",""
"頭-23","防具","頭","珍珠盔","水","外界・拍賣","依人物等級","法體","減傷","護體","氣血低於 30% 時減傷 +8%",""
"頭-24","防具","頭","瑪瑙巾","火","外界・拍賣","依人物等級","均衡","減傷","先手盾","每波戰鬥前 2 回合減傷 +10%",""
"頭-25","防具","頭","和闐冠","土","外界・拍賣","依人物等級","厚重","減傷","回春","每回合回復 1% 氣血",""
"頭-26","防具","頭","神霄盔","金","外界・秘境","依秘境層級","靈動","減傷","回靈","每回合回復 1.5% 靈力","神霄（法攻）"
"頭-27","防具","頭","太昊巾","木","外界・秘境","依秘境層級","法體","減傷","定神","被凍結機率 -15%","太昊（法攻）"
"頭-28","防具","頭","玄女冠","水","外界・秘境","依秘境層級","均衡","減傷","閃擊","閃避後反擊一次 ×0.8","玄女（法攻）"
"頭-29","防具","頭","羲和盔","火","外界・秘境","依秘境層級","厚重","減傷","金身","受到物理傷害 -6%","羲和（法攻）"
"頭-30","防具","頭","黃庭巾","土","外界・秘境","依秘境層級","靈動","減傷","化勁","受到術法傷害 -6%","黃庭（法攻）"
"頭-31","防具","頭","白帝冠","金","外界・秘境","依秘境層級","法體","減傷","延壽","戰死折壽 -10%","白帝（防禦）"
"頭-32","防具","頭","句芒盔","木","外界・秘境","依秘境層級","均衡","減傷","丹心","丹藥回復量 +15%","句芒（防禦）"
"頭-33","防具","頭","玄天巾","水","外界・秘境","依秘境層級","厚重","減傷","反震","受擊反彈 8% 傷害","玄天（防禦）"
"頭-34","防具","頭","炎帝冠","火","外界・秘境","依秘境層級","靈動","減傷","護體","氣血低於 30% 時減傷 +8%","炎帝（防禦）"
"頭-35","防具","頭","軒轅盔","土","外界・秘境","依秘境層級","法體","減傷","先手盾","每波戰鬥前 2 回合減傷 +10%","軒轅（防禦）"
"頭-36","防具","頭","紫霄巾","金","外界・秘境","依秘境層級","均衡","減傷","回春","每回合回復 1% 氣血",""
"頭-37","防具","頭","星隕冠","金","外界・秘境","依秘境層級","厚重","減傷","回靈","每回合回復 1.5% 靈力",""
"頭-38","防具","頭","破虛盔","金","外界・秘境","依秘境層級","靈動","減傷","定神","被凍結機率 -15%",""
"頭-39","防具","頭","生生巾","木","外界・秘境","依秘境層級","法體","減傷","閃擊","閃避後反擊一次 ×0.8",""
"頭-40","防具","頭","萬靈冠","木","外界・秘境","依秘境層級","均衡","減傷","金身","受到物理傷害 -6%",""
"頭-41","防具","頭","青虛盔","木","外界・秘境","依秘境層級","厚重","減傷","化勁","受到術法傷害 -6%",""
"頭-42","防具","頭","冰皇巾","水","外界・秘境","依秘境層級","靈動","減傷","延壽","戰死折壽 -10%",""
"頭-43","防具","頭","雪域冠","水","外界・秘境","依秘境層級","法體","減傷","丹心","丹藥回復量 +15%",""
"頭-44","防具","頭","龍宮盔","水","外界・秘境","依秘境層級","均衡","減傷","反震","受擊反彈 8% 傷害",""
"頭-45","防具","頭","熾天巾","火","外界・秘境","依秘境層級","厚重","減傷","護體","氣血低於 30% 時減傷 +8%",""
"頭-46","防具","頭","丹陽冠","火","外界・秘境","依秘境層級","靈動","減傷","先手盾","每波戰鬥前 2 回合減傷 +10%",""
"頭-47","防具","頭","火德盔","火","外界・秘境","依秘境層級","法體","減傷","回春","每回合回復 1% 氣血",""
"頭-48","防具","頭","乾坤巾","土","外界・秘境","依秘境層級","均衡","減傷","回靈","每回合回復 1.5% 靈力",""
"頭-49","防具","頭","太嶽冠","土","外界・秘境","依秘境層級","厚重","減傷","定神","被凍結機率 -15%",""
"頭-50","防具","頭","八荒盔","土","外界・秘境","依秘境層級","靈動","減傷","閃擊","閃避後反擊一次 ×0.8",""
"內衣-01","防具","內衣","青銅衣","金","可製作・凡俗宗門","Lv10～100","厚重","減傷","回春","每回合回復 1% 氣血",""
"內衣-02","防具","內衣","竹節軟甲","木","可製作・凡俗宗門","Lv10～100","剛柔","減傷","回靈","每回合回復 1.5% 靈力",""
"內衣-03","防具","內衣","秋水內襯","水","可製作・凡俗宗門","Lv10～100","法體","減傷","定神","被凍結機率 -15%",""
"內衣-04","防具","內衣","紅纓衣","火","可製作・凡俗宗門","Lv10～100","均衡","減傷","閃擊","閃避後反擊一次 ×0.8",""
"內衣-05","防具","內衣","石紋軟甲","土","可製作・凡俗宗門","Lv10～100","厚重","減傷","金身","受到物理傷害 -6%",""
"內衣-06","防具","內衣","斬魄內襯","金","可製作・修真宗門","Lv200～500","剛柔","減傷","化勁","受到術法傷害 -6%",""
"內衣-07","防具","內衣","碧落衣","木","可製作・修真宗門","Lv200～500","法體","減傷","延壽","戰死折壽 -10%",""
"內衣-08","防具","內衣","流雲軟甲","水","可製作・修真宗門","Lv200～500","均衡","減傷","丹心","丹藥回復量 +15%",""
"內衣-09","防具","內衣","焚天內襯","火","可製作・修真宗門","Lv200～500","厚重","減傷","反震","受擊反彈 8% 傷害",""
"內衣-10","防具","內衣","玄黃衣","土","可製作・修真宗門","Lv200～500","剛柔","減傷","護體","氣血低於 30% 時減傷 +8%",""
"內衣-11","防具","內衣","天罡軟甲","金","可製作・至高宗門","Lv700～1000","法體","減傷","先手盾","每波戰鬥前 2 回合減傷 +10%",""
"內衣-12","防具","內衣","扶桑內襯","木","可製作・至高宗門","Lv700～1000","均衡","減傷","回春","每回合回復 1% 氣血",""
"內衣-13","防具","內衣","北冥衣","水","可製作・至高宗門","Lv700～1000","厚重","減傷","回靈","每回合回復 1.5% 靈力",""
"內衣-14","防具","內衣","離火軟甲","火","可製作・至高宗門","Lv700～1000","剛柔","減傷","定神","被凍結機率 -15%",""
"內衣-15","防具","內衣","戊己內襯","土","可製作・至高宗門","Lv700～1000","法體","減傷","閃擊","閃避後反擊一次 ×0.8",""
"內衣-16","防具","內衣","奪魄衣","金","外界・奪寶","依人物等級","均衡","減傷","金身","受到物理傷害 -6%",""
"內衣-17","防具","內衣","噬心軟甲","木","外界・奪寶","依人物等級","厚重","減傷","化勁","受到術法傷害 -6%",""
"內衣-18","防具","內衣","黃泉內襯","水","外界・奪寶","依人物等級","剛柔","減傷","延壽","戰死折壽 -10%",""
"內衣-19","防具","內衣","魔焰衣","火","外界・奪寶","依人物等級","法體","減傷","丹心","丹藥回復量 +15%",""
"內衣-20","防具","內衣","白骨軟甲","土","外界・奪寶","依人物等級","均衡","減傷","反震","受擊反彈 8% 傷害",""
"內衣-21","防具","內衣","琉璃內襯","金","外界・拍賣","依人物等級","厚重","減傷","護體","氣血低於 30% 時減傷 +8%",""
"內衣-22","防具","內衣","沉香衣","木","外界・拍賣","依人物等級","剛柔","減傷","先手盾","每波戰鬥前 2 回合減傷 +10%",""
"內衣-23","防具","內衣","水晶軟甲","水","外界・拍賣","依人物等級","法體","減傷","回春","每回合回復 1% 氣血",""
"內衣-24","防具","內衣","珊瑚內襯","火","外界・拍賣","依人物等級","均衡","減傷","回靈","每回合回復 1.5% 靈力",""
"內衣-25","防具","內衣","黃玉衣","土","外界・拍賣","依人物等級","厚重","減傷","定神","被凍結機率 -15%",""
"內衣-26","防具","內衣","白帝軟甲","金","外界・秘境","依秘境層級","剛柔","減傷","閃擊","閃避後反擊一次 ×0.8","白帝（防禦）"
"內衣-27","防具","內衣","句芒內襯","木","外界・秘境","依秘境層級","法體","減傷","金身","受到物理傷害 -6%","句芒（防禦）"
"內衣-28","防具","內衣","玄天衣","水","外界・秘境","依秘境層級","均衡","減傷","化勁","受到術法傷害 -6%","玄天（防禦）"
"內衣-29","防具","內衣","炎帝軟甲","火","外界・秘境","依秘境層級","厚重","減傷","延壽","戰死折壽 -10%","炎帝（防禦）"
"內衣-30","防具","內衣","軒轅內襯","土","外界・秘境","依秘境層級","剛柔","減傷","丹心","丹藥回復量 +15%","軒轅（防禦）"
"內衣-31","防具","內衣","大衍衣","金","外界・秘境","依秘境層級","法體","減傷","反震","受擊反彈 8% 傷害","大衍（收益）"
"內衣-32","防具","內衣","蓬萊軟甲","木","外界・秘境","依秘境層級","均衡","減傷","護體","氣血低於 30% 時減傷 +8%","蓬萊（收益）"
"內衣-33","防具","內衣","歸墟內襯","水","外界・秘境","依秘境層級","厚重","減傷","先手盾","每波戰鬥前 2 回合減傷 +10%","歸墟（收益）"
"內衣-34","防具","內衣","丹霄衣","火","外界・秘境","依秘境層級","剛柔","減傷","回春","每回合回復 1% 氣血","丹霄（收益）"
"內衣-35","防具","內衣","萬壽軟甲","土","外界・秘境","依秘境層級","法體","減傷","回靈","每回合回復 1.5% 靈力","萬壽（收益）"
"內衣-36","防具","內衣","斷界內襯","金","外界・秘境","依秘境層級","均衡","減傷","定神","被凍結機率 -15%",""
"內衣-37","防具","內衣","萬劍衣","金","外界・秘境","依秘境層級","厚重","減傷","閃擊","閃避後反擊一次 ×0.8",""
"內衣-38","防具","內衣","金烏軟甲","金","外界・秘境","依秘境層級","剛柔","減傷","金身","受到物理傷害 -6%",""
"內衣-39","防具","內衣","靈樞內襯","木","外界・秘境","依秘境層級","法體","減傷","化勁","受到術法傷害 -6%",""
"內衣-40","防具","內衣","碧霄衣","木","外界・秘境","依秘境層級","均衡","減傷","延壽","戰死折壽 -10%",""
"內衣-41","防具","內衣","長春軟甲","木","外界・秘境","依秘境層級","厚重","減傷","丹心","丹藥回復量 +15%",""
"內衣-42","防具","內衣","四海內襯","水","外界・秘境","依秘境層級","剛柔","減傷","反震","受擊反彈 8% 傷害",""
"內衣-43","防具","內衣","月魄衣","水","外界・秘境","依秘境層級","法體","減傷","護體","氣血低於 30% 時減傷 +8%",""
"內衣-44","防具","內衣","星河軟甲","水","外界・秘境","依秘境層級","均衡","減傷","先手盾","每波戰鬥前 2 回合減傷 +10%",""
"內衣-45","防具","內衣","赤明內襯","火","外界・秘境","依秘境層級","厚重","減傷","回春","每回合回復 1% 氣血",""
"內衣-46","防具","內衣","朝陽衣","火","外界・秘境","依秘境層級","剛柔","減傷","回靈","每回合回復 1.5% 靈力",""
"內衣-47","防具","內衣","焰魔軟甲","火","外界・秘境","依秘境層級","法體","減傷","定神","被凍結機率 -15%",""
"內衣-48","防具","內衣","洪荒內襯","土","外界・秘境","依秘境層級","均衡","減傷","閃擊","閃避後反擊一次 ×0.8",""
"內衣-49","防具","內衣","鎮獄衣","土","外界・秘境","依秘境層級","厚重","減傷","金身","受到物理傷害 -6%",""
"內衣-50","防具","內衣","山海軟甲","土","外界・秘境","依秘境層級","剛柔","減傷","化勁","受到術法傷害 -6%",""
"盔甲-01","防具","盔甲","鐵骨甲","金","可製作・凡俗宗門","Lv10～100","厚重","減傷（×1.5）","定神","被凍結機率 -15%",""
"盔甲-02","防具","盔甲","桑木戰甲","木","可製作・凡俗宗門","Lv10～100","剛柔","減傷（×1.5）","閃擊","閃避後反擊一次 ×0.8",""
"盔甲-03","防具","盔甲","冷泉鎧","水","可製作・凡俗宗門","Lv10～100","法體","減傷（×1.5）","金身","受到物理傷害 -6%",""
"盔甲-04","防具","盔甲","烈陽甲","火","可製作・凡俗宗門","Lv10～100","均衡","減傷（×1.5）","化勁","受到術法傷害 -6%",""
"盔甲-05","防具","盔甲","厚土戰甲","土","可製作・凡俗宗門","Lv10～100","厚重","減傷（×1.5）","延壽","戰死折壽 -10%",""
"盔甲-06","防具","盔甲","破軍鎧","金","可製作・修真宗門","Lv200～500","剛柔","減傷（×1.5）","丹心","丹藥回復量 +15%",""
"盔甲-07","防具","盔甲","長青甲","木","可製作・修真宗門","Lv200～500","法體","減傷（×1.5）","反震","受擊反彈 8% 傷害",""
